State,Theta,Counts
0,N/A,{'0': 1000}
1,N/A,{'1': 1000}
+,N/A,"{'0': 474, '1': 526}"
-,N/A,"{'0': 478, '1': 522}"
ry,0,{'0': 1000}
ry,π/6,"{'1': 63, '0': 937}"
ry,π/4,"{'1': 135, '0': 865}"
ry,π/3,"{'0': 762, '1': 238}"
ry,π/2,"{'1': 516, '0': 484}"
